schema,table,column,type,mandatory,comment,foreign_key
ros_common,biometric_information,maturity_stage_level,integer,NO,,
ros_common,biometric_information,maturity_stage_scale,character varying(255),NO,,
ros_common,biometric_information,alternative_measured_length_value,double precision,NO,,
ros_common,biometric_information,alternative_measured_length_unit,character varying(3),NO,,
ros_common,biometric_information,alternative_measured_length_straight,boolean,NO,,
ros_common,biometric_information,alternative_measured_length_type_of_measurement_code,character(2),NO,,refs_biology.measurements.type_of_measurement_code
ros_common,biometric_information,alternative_measured_length_type_of_measurement_code,character(2),NO,,refs_biology.measurement_tools.type_of_measurement_code
ros_common,biometric_information,alternative_measured_length_measured_length_type_code,character(2),NO,,refs_biology.measurements.code
ros_common,biometric_information,alternative_measured_length_length_measuring_tool_code,character(2),NO,,refs_biology.measurement_tools.code
ros_common,biometric_information,measured_length_value,double precision,NO,,
ros_common,biometric_information,measured_length_unit,character varying(3),NO,,
ros_common,biometric_information,measured_length_straight,boolean,NO,,
ros_common,biometric_information,measured_length_type_of_measurement_code,character(2),NO,,refs_biology.measurements.type_of_measurement_code
ros_common,biometric_information,measured_length_type_of_measurement_code,character(2),NO,,refs_biology.measurement_tools.type_of_measurement_code
ros_common,biometric_information,measured_length_measured_length_type_code,character(2),NO,,refs_biology.measurements.code
ros_common,biometric_information,measured_length_length_measuring_tool_code,character(2),NO,,refs_biology.measurement_tools.code
ros_common,biometric_information,sample_collection_detail_destination,character varying(255),NO,,
ros_common,biometric_information,sample_collection_detail_preservation_method,text,NO,,
ros_common,biometric_information,sample_collection_detail_sample_type,character varying(255),NO,,
ros_common,depredation_details,id,integer,YES,,
ros_common,depredation_details,depredation_source_code,character varying(3),NO,,refs_biology.scars.code
ros_common,depredation_details,predator_observed_code,character varying(16),NO,,refs_biology.species.code
ros_common,observer_data,id,integer,YES,Technical identifier of the observer data,
ros_common,observer_data,vessel_type_code,character(3),YES,,refs_fishery.vessel_types.code
ros_common,observer_data,reporting_country_code,character(3),YES,,refs_admin.countries.code
ros_common,observer_data,complete,boolean,YES,,
ros_common,observer_data,creation_time,timestamp(6) without time zone,YES,,
ros_common,observer_data,originator,character varying(255),YES,,
ros_common,observer_data,originator_version,character varying(255),YES,,
ros_common,observer_data,ros_codelists_version,character varying(255),YES,,
ros_common,observer_data,ros_model_version,character varying(255),YES,,
ros_common,observer_data,source,character varying(255),YES,,
ros_common,observer_data,status,character varying(255),YES,,
ros_common,observer_data,submission_time,timestamp(6) without time zone,NO,,
ros_common,observer_data,finalization_time,timestamp(6) without time zone,NO,,
ros_common,observer_data,submitter_id,integer,NO,,ros_meta.focal_point.contact_id
ros_common,trip,id,integer,YES,,
ros_common,trip,trip_original_id,character varying(255),YES,,
ros_common,trip,observer_data_id,integer,YES,,ros_common.observer_data.id
ros_common,trip,uid,character varying(255),YES,,
ros_common,trip_daily_activities,trip_id,integer,YES,,ros_common.trip.id
ros_common,trip_daily_activities,id,integer,YES,,
ros_common,trip_daily_activities,date,timestamp(3) without time zone,NO,,
ros_common,trip_daily_activity_details,id,integer,YES,,
ros_common,trip_daily_activity_details,comments,text,NO,,
ros_common,trip_daily_activity_details,time_of_day,timestamp(3) without time zone,NO,,
ros_common,trip_daily_activity_details,latitude,double precision,NO,,
ros_common,trip_daily_activity_details,longitude,double precision,NO,,
ros_common,trip_daily_activity_details,activity_code,character(2),NO,,refs_biology.bait_conditions.code
ros_common,trip_daily_activity_details,trip_daily_activity_id,integer,YES,,ros_common.trip_daily_activities.id
ros_common,trip_observer,trip_id,integer,YES,,ros_common.trip.id
ros_common,trip_observer,date_time_disembarkation,timestamp(6) without time zone,NO,,
ros_common,trip_observer,date_time_embarkation,timestamp(6) without time zone,NO,,
ros_common,trip_observer,observer_id,integer,YES,,ros_meta.observer.contact_id
ros_common,trip_observer,disembarkation_location_name,character varying(255),NO,,
ros_common,trip_observer,disembarkation_latitude,double precision,NO,,
ros_common,trip_observer,disembarkation_longitude,double precision,NO,,
ros_common,trip_observer,disembarkation_country_code,character(3),NO,,refs_admin.countries.code
ros_common,trip_observer,disembarkation_port_code,character varying(16),NO,,refs_admin.ports.code
ros_common,trip_observer,embarkation_location_name,character varying(255),NO,,
ros_common,trip_observer,embarkation_latitude,double precision,NO,,
ros_common,trip_observer,embarkation_longitude,double precision,NO,,
ros_common,trip_observer,embarkation_country_code,character(3),NO,,refs_admin.countries.code
ros_common,trip_observer,embarkation_port_code,character varying(16),NO,,refs_admin.ports.code
ros_common,trip_reasons_for_days_lost,id,integer,YES,,
ros_common,trip_reasons_for_days_lost,reason,text,NO,,
ros_common,trip_reasons_for_days_lost,inoperativity_reason,character varying(255),NO,,refs_fishery.reasons_days_lost.code
ros_common,trip_reasons_for_days_lost,trip_id,integer,YES,,ros_common.trip.id
ros_common,trip_vessel,trip_id,integer,YES,,ros_common.trip.id
ros_common,trip_vessel,number_of_active_fishing_days,integer,NO,,
ros_common,trip_vessel,number_of_conducted_fishing_events_with_observer_onboard,integer,NO,,
ros_common,trip_vessel,number_of_days_in_fishing_area,integer,NO,,
ros_common,trip_vessel,number_of_days_lost,integer,NO,,
ros_common,trip_vessel,number_of_days_searching,integer,NO,,
ros_common,trip_vessel,number_of_days_transiting,integer,NO,,
ros_common,trip_vessel,number_of_observed_fishing_events,integer,NO,,
ros_common,trip_vessel,hull_material_code,character(2),NO,,refs_fishery.hull_material_types.code
ros_common,trip_vessel,ais,boolean,NO,,
ros_common,trip_vessel,gps,boolean,NO,,
ros_common,trip_vessel,vms,boolean,NO,,
ros_common,trip_vessel,depth_sounder,boolean,NO,,
ros_common,trip_vessel,doppler_current_meter,boolean,NO,,
ros_common,trip_vessel,expendable_bathythermographs,boolean,NO,,
ros_common,trip_vessel,fisheries_information_services,boolean,NO,,
ros_common,trip_vessel,hf_radios,boolean,NO,,
ros_common,trip_vessel,radars,boolean,NO,,
ros_common,trip_vessel,satellite_communication_systems,boolean,NO,,
ros_common,trip_vessel,sonar,boolean,NO,,
ros_common,trip_vessel,track_plotter,boolean,NO,,
ros_common,trip_vessel,vhf_radios,boolean,NO,,
ros_common,trip_vessel,number_of_crew,integer,NO,,
ros_common,trip_vessel,return_timestamp,timestamp(6) without time zone,NO,,
ros_common,trip_vessel,departure_timestamp,timestamp(6) without time zone,NO,,
ros_common,trip_vessel,skipper_id,integer,NO,,ros_meta.contact.id
ros_common,trip_vessel,fishing_master_id,integer,NO,,ros_meta.contact.id
ros_common,trip_vessel,vessel_id,integer,NO,,ros_meta.vessel.id
ros_common,trip_vessel,fish_storage_capacity_value,double precision,NO,,
ros_common,trip_vessel,fish_storage_capacity_unit,character varying(3),NO,,
ros_common,trip_vessel,loa_value,double precision,NO,,
ros_common,trip_vessel,loa_unit,character varying(3),NO,,
ros_common,trip_vessel,departure_location_name,character varying(255),NO,,
ros_common,trip_vessel,departure_latitude,double precision,NO,,
ros_common,trip_vessel,departure_longitude,double precision,NO,,
ros_common,trip_vessel,departure_country_code,character(3),NO,,refs_admin.countries.code
ros_common,trip_vessel,departure_port_code,character varying(16),NO,,refs_admin.ports.code
ros_common,trip_vessel,return_location_name,character varying(255),NO,,
ros_common,trip_vessel,return_latitude,double precision,NO,,
ros_common,trip_vessel,return_longitude,double precision,NO,,
ros_common,trip_vessel,return_country_code,character(3),NO,,refs_admin.countries.code
ros_common,trip_vessel,return_port_code,character varying(16),NO,,refs_admin.ports.code
ros_common,trip_vessel,autonomy_range_value,double precision,NO,,
ros_common,trip_vessel,autonomy_range_unit,character varying(3),NO,,
ros_common,trip_vessel,tonnage_value,double precision,NO,,
ros_common,trip_vessel,tonnage_unit,character varying(3),NO,,
ros_common,trip_vessel_fish_preservation_method,trip_id,integer,YES,,ros_common.trip.id
ros_common,trip_vessel_fish_preservation_method,fish_preservation_method_code,character(2),YES,,refs_fishery.fish_preservation_methods.code
ros_common,trip_vessel_fish_storage_type,trip_id,integer,YES,,ros_common.trip.id
ros_common,trip_vessel_fish_storage_type,fish_storage_type_code,character(2),YES,,refs_fishery.fish_storage_types.code
ros_common,trip_vessel_main_engines,trip_id,integer,YES,,ros_common.trip.id
ros_common,trip_vessel_main_engines,main_engines_make,character varying(255),NO,,
ros_common,trip_vessel_main_engines,main_engines_value,double precision,YES,,
ros_common,trip_vessel_main_engines,main_engines_unit,character varying(3),YES,,
ros_common,trip_waste_managements,id,integer,YES,,
ros_common,trip_waste_managements,trip_id,integer,NO,,ros_common.trip.id
ros_common,trip_waste_managements,waste_storage_or_disposal_method_code,character(2),NO,,refs_fishery.waste_disposal_methods.code
ros_common,trip_waste_managements,waste_category_code,character(2),NO,,refs_fishery.waste_categories.code
ros_pl,additional_catch_details_on_ssi,id,integer,YES,,
ros_pl,additional_catch_details_on_ssi,brought_on_board,boolean,NO,,
ros_pl,additional_catch_details_on_ssi,photo_id,character varying(255),NO,,
ros_pl,additional_catch_details_on_ssi,revival,boolean,NO,,
ros_pl,additional_catch_details_on_ssi,gear_interaction_code,character(2),NO,,refs_biology.gear_interactions.code
ros_pl,additional_catch_details_on_ssi,handling_method_code,character(2),NO,,refs_biology.handling_methods.code
ros_pl,bait_fishing_event_pl_catch_detail,bait_fishing_event_id,integer,YES,,ros_pl.bait_fishing_events.id
ros_pl,bait_fishing_events,id,integer,YES,,
ros_pl,bait_fishing_events,comments,text,NO,,
ros_pl,bait_fishing_events,event_original_id,character varying(255),NO,,
ros_pl,bait_fishing_events,bait_fishing_operation_id,integer,NO,,ros_pl.bait_fishing_operations.id
ros_pl,bait_fishing_events,trip_id,integer,YES,,ros_common.trip.id
ros_pl,bait_fishing_operations,id,integer,YES,,
ros_pl,bait_fishing_operations,end_event_date_and_time,timestamp(6) without time zone,NO,,
ros_pl,bait_fishing_operations,number_of_fishers,integer,NO,,
ros_pl,bait_fishing_operations,start_event_date_and_time,timestamp(6) without time zone,NO,,
ros_pl,bait_fishing_operations,start_event_latitude,double precision,NO,,
ros_pl,bait_fishing_operations,start_event_longitude,double precision,NO,,
ros_pl,bait_fishing_operations,bait_fishing_method_code,character(2),NO,,refs_fishery.bait_fishing_methods.code
ros_pl,bait_fishing_operations,sampling_protocol_code,character(2),NO,,refs_biology.sampling_protocols.code
ros_pl,bait_fishing_operations,event_depth_value,double precision,NO,,
ros_pl,bait_fishing_operations,event_depth_unit,character varying(3),NO,,
ros_pl,baits_and_conditions,id,integer,YES,,
ros_pl,baits_and_conditions,bait_condition_code,character(2),NO,,refs_biology.bait_conditions.code
ros_pl,baits_and_conditions,species_code,character varying(16),NO,,refs_biology.species.code
ros_pl,catch_details,id,integer,YES,,
ros_pl,catch_details,comments,text,NO,,
ros_pl,catch_details,estimated_catch_in_numbers,integer,NO,,
ros_pl,catch_details,type_of_fate_code,character(2),YES,,refs_biology.fates.type_of_fate_code
ros_pl,catch_details,estimated_weight_sampling_method_code,character(2),NO,,refs_biology.sampling_methods_for_catch_estimation.code
ros_pl,catch_details,fates_code,character(2),NO,,refs_biology.fates.code
ros_pl,catch_details,species_code,character varying(16),NO,,refs_biology.species.code
ros_pl,catch_details,estimated_weight_value,double precision,NO,,
ros_pl,catch_details,estimated_weight_unit,character varying(3),NO,,
ros_pl,catch_details,estimated_weight_type_of_measurement_code,character(2),NO,,
ros_pl,catch_details,estimated_weight_processing_type_code,character(2),NO,,
ros_pl,catch_details,estimated_weight_weight_estimation_method_code,character(2),NO,,
ros_pl,gear_specifications,id,integer,YES,,
ros_pl,gear_specifications,trip_id,integer,YES,,ros_common.trip.id
ros_pl,gear_specifications,live_bait_tanks_capacity,double precision,NO,,
ros_pl,gear_specifications,number_of_automatic_poles,integer,NO,,
ros_pl,gear_specifications,number_of_anglers,integer,NO,,
ros_pl,gear_specifications,pole_material,character varying(255),NO,,
ros_pl,gear_specifications,pole_material_description,text,NO,,
ros_pl,gear_specifications,hook_type_code,character(3),NO,,refs_fishery.hook_types.code
ros_pl,lures_or_jiggers_by_type,id,integer,YES,,
ros_pl,lures_or_jiggers_by_type,lure_type,character varying(255),NO,,
ros_pl,lures_or_jiggers_by_type,make,character varying(255),NO,,
ros_pl,lures_or_jiggers_by_type,hook_type_code,character(3),NO,,refs_fishery.hook_types.code
ros_pl,lures_or_jiggers_by_type,gear_specifications_id,integer,NO,,ros_pl.gear_specifications.id
ros_pl,object_details,id,integer,YES,,
ros_pl,object_details,buoy_identifier,character varying(255),NO,,
ros_pl,specimens,id,integer,YES,,
ros_pl,specimens,specimen_original_id,character varying(255),YES,,
ros_pl,specimens,additional_catch_details_on_ssis_id,integer,NO,,ros_pl.additional_catch_details_on_ssi.id
ros_pl,specimens,additional_specimen_details_non_target_species_id,integer,NO,,ros_common.additional_details_on_non_target_species.id
ros_pl,specimens,biometric_information_id,integer,NO,,ros_common.biometric_information.id
ros_pl,specimens,depredation_detail_id,integer,NO,,ros_common.depredation_details.id
ros_pl,specimens,tag_detail_id,integer,NO,,ros_pl.tag_details.id
ros_pl,specimens,catch_detail_id,integer,NO,,ros_pl.catch_details.id
ros_pl,tag_details,id,integer,YES,,
ros_pl,tag_details,alternate_tag_original_id,character varying(255),NO,,
ros_pl,tag_details,tag_original_id,character varying(255),NO,,
ros_pl,tag_details,tag_recovery,boolean,NO,,
ros_pl,tag_details,tag_release,boolean,NO,,
ros_pl,tag_details,tag_type_code,character(2),NO,,refs_biology.tag_types.code
ros_pl,tag_details,tag_finder_id,integer,NO,,ros_meta.contact.id
ros_pl,tuna_fishing_event_pl_catch_detail,tuna_fishing_event_id,integer,YES,,ros_pl.tuna_fishing_events.id
ros_pl,tuna_fishing_event_pl_catch_detail,catch_detail_id,integer,YES,,ros_pl.catch_details.id
ros_pl,tuna_fishing_events,id,integer,YES,,
ros_pl,tuna_fishing_events,comments,text,NO,,
ros_pl,tuna_fishing_events,event_original_id,character varying(255),NO,,
ros_pl,tuna_fishing_events,object_detail_id,integer,NO,,ros_pl.object_details.id
ros_pl,tuna_fishing_events,tuna_fishing_operation_id,integer,NO,,ros_pl.tuna_fishing_operations.id
ros_pl,tuna_fishing_events,trip_id,integer,YES,,ros_common.trip.id
ros_pl,tuna_fishing_operations,id,integer,YES,,
ros_pl,tuna_fishing_operations,bait_used,boolean,NO,,
ros_pl,tuna_fishing_operations,end_event_date_and_time,timestamp(6) without time zone,NO,,
ros_pl,tuna_fishing_operations,maximum_lines_fishing_at_the_same_time,integer,NO,,
ros_pl,tuna_fishing_operations,number_of_hooks_lost,integer,NO,,
ros_pl,tuna_fishing_operations,start_event_date_and_time,timestamp(6) without time zone,NO,,
ros_pl,tuna_fishing_operations,weight_of_bait_used,double precision,NO,,
ros_pl,tuna_fishing_operations,start_event_latitude,double precision,NO,,
ros_pl,tuna_fishing_operations,start_event_longitude,double precision,NO,,
ros_pl,tuna_fishing_operations,bait_and_condition_id,integer,NO,,ros_pl.baits_and_conditions.id
ros_pl,tuna_fishing_operations_cl_school_sighting_cues,fishing_operation_id,integer,YES,,ros_pl.tuna_fishing_operations.id
ros_pl,tuna_fishing_operations_cl_school_sighting_cues,school_sighting_cue_code,character(2),YES,,refs_fishery.school_sighting_cues.code
ros_pl,tuna_fishing_operations_target_species,tuna_fishing_operation_id2,integer,YES,,ros_pl.tuna_fishing_operations.id
ros_pl,tuna_fishing_operations_target_species,target_species_code,character varying(16),NO,,refs_biology.species.code
